1.447.210,90€
1.358.419,90€
1.299.933,60€
1.396.387,20€
1.352.449,70€
1.337.629,60€
1.336.219,00€
1.344.104,90€
1.265.139,50€
1.305.617,90€
1.409.905,30€
1.273.242,70€
1.392.882,30€
1.330.558,90€
1.391.837,50€
1.281.614,40€
1.362.142,40€
1.281.719,90€
1.346.867,50€
1.402.449,40€
1.342.115,70€
1.257.378,30€
1.237.260,70€
1.328.786,00€
1.242.069,70€
1.311.346,80€
1.364.650,70€
1.322.289,50€
1.360.059,30€
1.347.567,90€
